form,lemma,id,lemma_id,sentence_id,pos,morphology
мол,молитва,2344162,59126,220100,Nb,-s---fn--i
егда,ѥгда,2344163,66511,220100,Dq,---------n
хотѧще,хотѣти,2344164,64035,220100,V-,-pppamn-si
виноградъ,виноградъ,2344165,59493,220100,Nb,-s---ma--i
садити,садити,2344166,66861,220100,V-,--pna----i
Тꙑ,тꙑ,2344167,58769,220101,Pp,2s---mn--i
еси,бꙑти,2344168,58773,220101,V-,2spia----i
х҃е,христ(ос)ъ,2344169,64943,220101,Ne,-s---mv--i
виноградъ,виноградъ,2344170,59493,220101,Nb,-s---mn--i
истинънꙑи,истиньнъ,2344171,59924,220101,A-,-s---mnpwi
і,и,2344172,58771,220101,C-,---------n
оц҃ь,отьць,2344173,58993,220101,Nb,-s---mn--i
твои,твои,2344174,58814,220101,Ps,2s---mn--i
дѣлатель,дѣлатель,2344175,67038,220101,Nb,-s---mn--i
есть,бꙑти,2344176,58773,220101,V-,3spia----i
тꙑ,тꙑ,2344177,58769,220102,Pp,2s---mn--i
своѩ҃,свои,2344178,58780,220102,Pt,3p---ma--i
апл҃ꙑ,апостолъ,2344179,66565,220102,Nb,-p---ma--i
лозие,лозиѥ,2344180,150572,220102,Nb,-s---na--i
нареклъ,нарещи,2344181,59127,220102,V-,-sspamn-si
еси,бꙑти,2344182,58773,220102,V-,2spia----i
тꙑ,тꙑ,2344183,58769,220103,Pp,2s---mn--i
ил҃ѣ,издраиль,2344184,60283,220103,Ne,-s---mg--i
отъ,отъ,2344185,58785,220103,R-,---------n
еꙉюпта,егѵпьтъ,2344186,83952,220103,Ne,-s---mg--i
прѣнесе,прѣнести,2344187,125638,220103,V-,2saia----i
и,и,2344188,58771,220103,C-,---------n
изгъна,изгънати,2344189,60252,220103,V-,2saia----i
ѩзꙑкꙑ,ѩзꙑкъ,2344190,59128,220103,Nb,-p---ma--i
и,и,2344191,58771,220103,C-,---------n
насади,насадити,2344192,59494,220103,V-,2saia----i
ѩ,и,2344193,58765,220103,Pp,3p---ma--i
такожде,такожде,2344194,60062,220104,Df,---------n
и,и,2344195,58901,220104,Df,---------n
нꙑнѣ,нꙑнѣ,2344196,64687,220104,Df,---------n
призьри,призьрѣти,2344197,67620,220104,V-,2spma----i
на,на,2344198,58783,220104,R-,---------n
виноградъ,виноградъ,2344199,59493,220104,Nb,-s---ma--i
съ,сь,2344200,59234,220104,Pd,-s---ma--i
і,и,2344201,58771,220105,C-,---------n
насади,насадити,2344202,59494,220105,V-,2spma----i
и,и,2344203,58765,220105,Pp,3s---ma--i
і,и,2344204,58771,220105,C-,---------n
оукорени,оукоренити,2344205,150573,220105,V-,2spma----i
и,и,2344206,58765,220105,Pp,3s---ma--i
і,и,2344207,58771,220106,C-,---------n
оуглѫби,оуглѫбити,2344208,69870,220106,V-,2spma----i
мл҃сть,милость,2344209,67655,220106,Nb,-s---fa--i
твоѭ,твои,2344210,58814,220106,Ps,2s---fa--i
на,на,2344211,58783,220106,R-,---------n
нь,и,2344212,58765,220106,Pp,3s---ma--i
огради,оградити,2344213,59495,220203,V-,2spma----i
и,и,2344214,58765,220203,Pp,3s---ma--i
острогомь,острогъ,2344215,68965,220203,Nb,-s---mi--i
въходꙑ,въходъ,2344216,119821,220204,Nb,-p---ma--i
и,и,2344217,58771,220204,C-,---------n
исходꙑ,исходъ,2344218,68532,220204,Nb,-p---ma--i
его,и,2344220,58765,220204,Pp,3s---mg--i
ізбави,избавити,2344221,66370,220204,V-,2spma----i
отъ,отъ,2344222,58785,220204,R-,---------n
снѣга,снѣгъ,2344223,65098,220204,Nb,-s---mg--i
і,и,2344224,58771,220204,C-,---------n
отъ,отъ,2344225,58785,220204,R-,---------n
мраза,мразъ,2344226,83964,220204,Nb,-s---mg--i
і,и,2344227,58771,220204,C-,---------n
отъ,отъ,2344228,58785,220204,R-,---------n
града,градъ,2344229,150574,220204,Nb,-s---mg--i
носима,носити,2344230,64270,220204,V-,-spppmg-si
боуреѭ,боурꙗ,2344231,66787,220204,Nb,-s---fi--i
вш,възглашениѥ,2344232,150575,220109,Nb,-s---nn--i
Ѣко,ꙗко,2344233,72150,220205,Df,---------n
милостивꙑ,милостивъ,2344234,67983,220205,A-,-s---mnpwi
ч҃клюбець,чловѣколюбьць,2344235,133864,220205,Nb,-s---mn--i
б҃ъ,богъ,2344236,60009,220205,Nb,-s---mn--i
еси,бꙑти,2344237,58773,220205,V-,2spia----i
і,и,2344238,58771,220205,C-,---------n
тебѣ,тꙑ,2344239,58769,220205,Pp,2s---md--i
мол,молитва,2344240,59126,220110,Nb,-s---fn--i
на,на,2344241,58783,220110,R-,---------n
гроздъми,гроздъ,2344242,67986,220110,Nb,-p---mi--i
вина,вино,2344243,67466,220110,Nb,-s---ng--i
на,на,2344244,58783,220110,R-,---------n
имание,иманиѥ,2344245,137485,220110,Nb,-s---na--i
Бж҃е,богъ,2344246,60009,220111,Nb,-s---mv--i
сп҃е,съпасъ,2344247,67649,220111,Nb,-s---mv--i
нашъ,нашь,2344248,58994,220111,Ps,1s---mn--i
ізволеи,изволити,2344249,67592,220111,V-,-supamn-wi
нарещи,нарещи,2344250,59127,220111,V-,--pna----i
сѧ,себе,2344251,58829,220111,Pk,3s---qa--i
виноградомъ,виноградъ,2344252,59493,220111,Nb,-s---mi--i
единочѧдааго,ѥдиночѧдъ,2344253,151283,220111,A-,-s---mgpwi
сн҃а,сꙑнъ,2344254,146309,220111,Nb,-s---mg--i
твоего,твои,2344255,58814,220111,Ps,2s---mg--i
і,и,2344256,58771,220111,C-,---------n
б҃а,богъ,2344257,60009,220111,Nb,-s---mg--i
г҃а,господь,2344258,58858,220111,Nb,-s---mg--i
нашего,нашь,2344259,58994,220111,Ps,1s---mg--i
ис,исоусъ,2344260,58917,220111,Ne,-s---mg--i
х҃а,христ(ос)ъ,2344890,64943,220111,Ne,-s---mg--i
і,и,2344261,58771,222509,C-,---------n
плодъ,плодъ,2344262,59095,222509,Nb,-s---ma--i
бесъмрътенъ,бесъмрьтьнъ,2344263,79971,222509,A-,-s---mapsi
даровавъ,даровати,2344264,68007,222509,V-,-supamn-si
намъ,мꙑ,2344265,59257,222509,Pp,1p---pd--i
імь,и,2344266,58765,222509,Pp,3s---mi--i
тꙑ,тꙑ,2344267,58769,222509,Pp,2s---mn--i
плодо,плодъ,2344268,59095,222509,Nb,-s---ma--i
сь,сь,2344897,59234,222509,Pd,-s---ma--i
винънꙑ,виньнъ,2344269,83004,222509,A-,-s---mapwi
бл҃гви,благословити,2344270,59043,222509,V-,2spma----i
мо҃лтвами,молитва,2344271,59126,222509,Nb,-p---fi--i
ст҃ꙑѩ,свѧтъ,2344272,58910,222509,A-,-s---fgpwi
бр҃цѧ,богородица,2344273,118402,222509,Nb,-s---fg--i
і,и,2344274,58771,222509,C-,---------n
всѣхъ,вьсь,2344275,58821,222509,Px,-p---pg--i
ст҃ꙑхъ,свѧтъ,2344276,58910,222509,A-,-p---pgpwi
твоихъ,твои,2344277,58814,222509,Ps,2p---pg--i
оугождьшиихъ,оугодити,2344278,66506,222509,V-,-pupapg-wi
тебѣ,тꙑ,2344279,58769,222509,Pp,2s---md--i
отъ,отъ,2344280,58785,222509,R-,---------n
вѣка,вѣкъ,2344281,59093,222509,Nb,-s---mg--i
вш,възглашениѥ,2344282,150575,220118,Nb,-s---nn--i
благодѣтиѭ,благодѣть,2344283,73292,220207,Nb,-s---fi--i
и,и,2344284,58771,220207,C-,---------n
щедротами,щедрота,2344285,122818,220207,Nb,-p---fi--i
единочѧдааго,ѥдиночѧдъ,2344286,151283,220207,A-,-s---mgpwi
сн҃а,сꙑнъ,2344287,146309,220207,Nb,-s---mg--i
мол,молитва,2344288,59126,220120,Nb,-s---fn--i
начѧтью,начѧтиѥ,2344289,139708,220120,Nb,-s---nd--i
виноу,вино,2344290,67466,220120,Nb,-s---nd--i
кꙑсѣлоу,кꙑсѣлъ,2344291,150576,220120,A-,-s---ndpsi
Гі҃,господь,2344292,58858,220121,Nb,-s---mv--i
ис,исоусъ,2344293,58917,220121,Ne,-s---mv--i
х҃е,христ(ос)ъ,2344903,64943,220121,Ne,-s---mv--i
бж҃е,богъ,2344294,60009,220121,Nb,-s---mv--i
нашъ,нашь,2344295,58994,220121,Ps,1s---mn--i
прѣложеи,приложити,2344296,66492,220121,V-,-supamn-wi
водѫ,вода,2344297,58907,220121,Nb,-s---fa--i
въ,въ,2344298,58774,220121,R-,---------n
вино,вино,2344299,67466,220121,Nb,-s---na--i
въ,въ,2344300,58774,220121,R-,---------n
кана-галилѣискꙑхъ,кана-галилеискъ,2344301,150577,220121,A-,-p---mlpwi
брацѣхъ,бракъ,2344302,67366,220121,Nb,-p---ml--i
і,и,2344303,58771,220121,C-,---------n
славѫ,слава,2344304,64748,220121,Nb,-s---fa--i
своѭ,свои,2344305,58780,220121,Pt,3s---fa--i
авль,авити,2344306,65102,220121,V-,-supamn-si
оученикомъ,оученикъ,2344307,59097,220121,Nb,-p---md--i
своимъ,свои,2344308,58780,220121,Pt,3p---md--i
тꙑ,тꙑ,2344309,58769,220121,Pp,2s---mn--i
и,и,2344310,58901,220121,Df,---------n
нꙑнѣ,нꙑнѣ,2344311,64687,220121,Df,---------n
посѣти,посѣтити,2344312,68006,220121,V-,2spma----i
отъ,отъ,2344313,58785,220121,R-,---------n
стааго,свѧтъ,2344314,58910,220121,A-,-s---ngpwi
жилища,жилище,2344315,59408,220121,Nb,-s---ng--i
своего,свои,2344316,58780,220121,Pt,3s---ng--i
і,и,2344317,58771,220121,C-,---------n
бг҃ви,благословити,2344318,59043,220121,V-,2spma----i
вино,вино,2344319,67466,220121,Nb,-s---na--i
се,сь,2344320,59234,220121,Pd,-s---na--i
і,и,2344321,58771,220125,C-,---------n
сътвори,сътворити,2344322,58795,220125,V-,2spma----i
е,и,2344323,58765,220125,Pp,3s---na--i
во,въ,2344324,58774,220125,R-,---------n
всѣко,вьсꙗкъ,2344325,65732,220125,A-,-s---napsi
благо,благъ,2344326,65623,220125,A-,-s---napsi
растворение,растворѥниѥ,2344327,150579,220125,Nb,-s---na--i
пиѭщиимъ,пити,2344328,65114,220125,V-,-pppamd-wi
Да,да,2344329,58766,220125,G-,---------n
без,без,2344330,66295,220125,R-,---------n
всѣкоѩ,вьсꙗкъ,2344331,65732,220125,A-,-s---fgpwi
неприѣзнинꙑ,неприꙗзнинъ,2344332,69224,220125,A-,-s---fgpsi
дѣтѣли,дѣтѣль,2344333,84008,220125,Nb,-s---fg--i
пиѭще,пити,2344334,65114,220125,V-,-pppamn-si
е,и,2344335,58765,220125,Pp,3s---na--i
славимъ,славити,2344336,64508,220125,V-,1ppia----i
тѧ,тꙑ,2344337,58769,220125,Pp,2s---ma--i
дателѣ,датель,2344338,131663,220125,Nb,-s---mg--i
всемоу,вьсь,2344339,58821,220125,Px,-s---nd--i
доброу,добръ,2344340,64420,220125,A-,-s---ndpsi
приношенью,приношениѥ,2344341,84471,220125,Nb,-s---nd--i
оц҃а,отьць,2344342,58993,220125,Nb,-s---mg--i
и,и,2344343,58771,220125,C-,---------n
сн҃а,сꙑнъ,2344344,146309,220125,Nb,-s---mg--i
и,и,2344345,58771,220125,C-,---------n
с,свѧтъ,2344346,58910,220125,A-,---------n
мол,молитва,2344347,59126,220129,Nb,-s---fn--i
благ҃вение,благословлѥниѥ,2344348,137285,220129,Nb,-s---nn--i
домоу,домъ,2344349,59745,220129,Nb,-s---md--i
и,и,2344350,58771,220129,C-,---------n
храмоу,храмъ,2344351,59125,220129,Nb,-s---md--i
Бж҃е,богъ,2344352,60009,220130,Nb,-s---mv--i
сп҃телю,съпаситель,2344353,83831,220130,Nb,-s---mv--i
нашъ,нашь,2344354,58994,220130,Ps,1s---mn--i
съподоблеи,съподобити,2344355,68983,220130,V-,-supamn-wi
подъ,подъ,2344356,64426,220130,R-,---------n
кровъ,кровъ,2344357,64411,220130,Nb,-s---ma--i
закьхеовъ,закьхеовъ,2344358,150580,220130,A-,-s---mapsi
вьнити,вънити,2344359,59000,220130,V-,--pna----i
сп҃ение,съпасениѥ,2344360,67717,220130,Nb,-s---na--i
емоу,и,2344361,58765,220130,Pp,3s---md--i
і,и,2344362,58771,220130,C-,---------n
всемоу,вьсь,2344363,58821,220130,Px,-s---md--i
домови,домъ,2344364,59745,220130,Nb,-s---md--i
его,и,2344365,58765,220130,Pp,3s---mg--i
бꙑти,бꙑти,2344366,58773,220130,V-,--pna----i
по,по,2344367,58960,220130,R-,---------n
твоемоу,твои,2344368,58814,220130,Ps,2s---md--i
прѣчистоумоу,прѣчистъ,2344369,79720,220130,A-,-s---mdpwi
і,и,2344370,58771,220130,C-,---------n
бесъмрътъноумоу,бесъмрьтьнъ,2344371,79971,220130,A-,-s---mdpwi
гласоу,гласъ,2344372,58926,220130,Nb,-s---md--i
іже,иже,2344373,58800,220130,Pr,-s---mn--i
отъ,отъ,2344374,58785,220130,R-,---------n
евѣ҃листъ,евангелистъ,2344375,84633,220130,Nb,-p---mg--i
вселенѣи,въселѥнаꙗ,2344376,67794,220130,Nb,-s---fd--i
въ,въ,2344377,58774,220130,R-,---------n
истинѫ,истина,2344378,59928,220130,Nb,-s---fa--i
проповѣда,проповѣдати,2344379,58868,220130,V-,3saia----i
сѧ,себе,2344380,58829,220130,Pk,3s---qa--i
тꙑ,тꙑ,2344381,58769,220130,Pp,2s---mn--i
и,и,2344382,58901,220130,Df,---------n
нꙑнѣ,нꙑнѣ,2344383,64687,220130,Df,---------n
хотѧшѧѩ,хотѣти,2344384,64035,220130,V-,-pppama-wi
сьде,сьде,2344385,64123,220130,Df,---------n
жити,жити,2344386,67386,220130,V-,--pna----i
нами,мꙑ,2344387,59257,220130,Pp,1p---pi--i
і,и,2344388,58771,220130,C-,---------n
сими,сь,2344389,59234,220130,Pd,-p---pi--i
съмѣренꙑми,съмѣрѥнъ,2344390,67660,220130,A-,-p---pipwi
і,и,2344391,58771,220130,C-,---------n
грѣшънꙑми,грѣшьнъ,2344392,65090,220130,A-,-p---pipwi
мол(и)твꙑ,молитва,2344393,59126,220130,Nb,-p---fa--i
приносѧшѧѩ,приносити,2344394,60229,220130,V-,-pppama-wi
бл҃гви,благословити,2344395,59043,220130,V-,2spma----i
і,и,2344396,58771,220130,C-,---------n
прослави,прославити,2344397,66331,220130,V-,2spma----i
бес,без,2344398,66295,220130,R-,---------n
пакости,пакость,2344909,69629,220130,Nb,-s---fg--i
і,и,2344399,58771,220130,C-,---------n
врѣждениѣ,врѣждениѥ,2344400,150581,220130,Nb,-s---ng--i
всего,вьсь,2344401,58821,220130,Px,-s---ng--i
житиѣ,житиѥ,2344402,64116,220130,Nb,-s---ng--i
въ,въ,2344403,58774,220130,R-,---------n
храмѣ,храмъ,2344404,59125,220130,Nb,-s---ml--i
семь,сь,2344405,59234,220130,Pd,-s---ml--i
авлѣѩ,авлꙗти,2344406,66191,220130,V-,-sppamn-si
имъ,и,2344407,58765,220130,Pp,3p---pd--i
твоими,твои,2344408,58814,220130,Ps,2p---mi--i
благꙑми,благъ,2344409,65623,220130,A-,-p---mipwi
даръми,даръ,2344410,66841,220130,Nb,-p---mi--i
земънꙑми,земьнъ,2344411,66254,220130,A-,-p---mipwi
і,и,2344412,58771,220130,C-,---------n
неб҃сънꙑми,небесьнъ,2344413,79134,220130,A-,-p---mipwi
вш,възглашениѥ,2344414,150575,220140,Nb,-s---nn--i
Ѣво,FIXME,2344415,85807,220208,Nb,-s---fv--i
подобает,подобати,2344416,64241,220208,V-,3spia----i
ти,тꙑ,2344417,58769,220208,Pp,2s---md--i
всѣ,вьсь,2344418,58821,220208,Px,-s---fn--i
слава,слава,2344419,64748,220208,Nb,-s---fn--i
оц҃а,отьць,2344420,58993,220208,Nb,-s---mg--i
и,и,2344421,58771,220208,C-,---------n
сн҃а,сꙑнъ,2344422,146309,220208,Nb,-s---mg--i
і,и,2344423,58771,220208,C-,---------n
ст҃ааго,свѧтъ,2344424,58910,220208,A-,-s---mgpwi
мол,молитва,2344425,59126,220143,Nb,-s---fn--i
над,надъ,2344426,67778,220143,R-,---------n
всѣцѣмь,вьсꙗкъ,2344427,65732,220143,A-,-s---nipwi
стадомь,стадо,2344428,59252,220143,Nb,-s---ni--i
Вл҃ко,владꙑка,2344429,67715,220144,Nb,-s---mv--i
г҃і,господь,2344430,58858,220144,Nb,-s---mv--i
бж҃е,богъ,2344431,60009,220144,Nb,-s---mv--i
нашъ,нашь,2344432,58994,220144,Ps,1s---mn--i
вседръжителю,вьседрьжитель,2344433,81169,220144,Nb,-s---mv--i
істинънꙑ,истиньнъ,2344434,59924,220144,A-,-s---mnpwi
агньче,агньць,2344435,68609,220144,Nb,-s---mv--i
въземлѧи,възимати,2344436,68954,220144,V-,-sppamn-wi
грѣхꙑ,грѣхъ,2344437,58872,220144,Nb,-p---ma--i
всего,вьсь,2344438,58821,220144,Px,-s---mg--i
мира,миръ,2344439,64975,220144,Nb,-s---mg--i
не,не,2344440,58767,220144,Df,---------n
прѣзьри,прѣзьрѣти,2344441,83523,220144,V-,2spma----i
д҃шъ,доуша,2344442,60303,220144,Nb,-p---fg--i
молѧщь,молити,2344443,59248,220144,V-,-pppafg-si
сѧ,себе,2344444,58829,220144,Pk,3s---qa--i
тебѣ,тꙑ,2344445,58769,220144,Pp,2s---md--i
чклюбче,чловѣколюбьць,2344446,133864,220209,Nb,-s---mv--i
къ,къ,2344447,58898,220209,R-,---------n
тебѣ,тꙑ,2344448,58769,220209,Pp,2s---md--i
прибѣгаемъ,прибѣгати,2344449,84532,220209,V-,1ppia----i
и,и,2344450,58771,220210,C-,---------n
тебѣ,тꙑ,2344451,58769,220210,Pp,2s---md--i
сѧ,себе,2344452,58829,220210,Pk,3s---qa--i
молимъ,молити,2344453,59248,220210,V-,1ppia----i
ізволеи,изволити,2344454,67592,220212,V-,-supamn-wi
вѣчьнааго,вѣчьнъ,2344455,65624,220212,A-,-s---mgpwi
своего,свои,2344456,58780,220212,Pt,3s---mg--i
иѣкова,иꙗковъ,2344457,59057,220212,Ne,-s---mg--i
і,и,2344458,58771,220212,C-,---------n
оумъножь,оумъножити,2344459,122529,220212,V-,-supamn-si
его,и,2344460,58765,220212,Pp,3s---mg--i
стада,стадо,2344461,59252,220212,Nb,-s---na--i
і,и,2344462,58771,220212,C-,---------n
избавивъ,избавити,2344463,66370,220212,V-,-supamn-si
і,и,2344464,58765,220212,Pp,3s---ma--i
отъ,отъ,2344465,58785,220212,R-,---------n
рѫкꙑ,рѫка,2344466,58831,220212,Nb,-s---fg--i
исаавовꙑ,исаавовъ,2344467,83962,220212,A-,-s---fgpsi
і,и,2344468,58771,220212,C-,---------n
отъ,отъ,2344469,58785,220212,R-,---------n
лаваановꙑ,лаваановъ,2344470,150582,220212,A-,-s---fgpsi
і,и,2344471,58901,220212,Df,---------n
нꙑнѣ,нꙑнѣ,2344472,64687,220212,Df,---------n
изволи,изволити,2344473,67592,220212,V-,2spma----i
і,и,2344474,58771,220212,C-,---------n
б҃лгви,благословити,2344475,59043,220212,V-,2spma----i
стадо,стадо,2344476,59252,220212,Nb,-s---na--i
се,сь,2344477,59234,220212,Pd,-s---na--i
і,и,2344478,58771,220213,C-,---------n
оумъножи,оумъножити,2344479,122529,220213,V-,2spma----i
е,и,2344480,58765,220213,Pp,3s---na--i
на,на,2344481,58783,220213,R-,---------n
тꙑсѧщѧ,тꙑсѧщи,2344482,147004,220213,Nb,-p---fa--i
и,и,2344483,58771,220213,C-,---------n
на,на,2344484,58783,220213,R-,---------n
тъмꙑ,тъма,2344485,81628,220213,Nb,-p---fa--i
і,и,2344486,58771,220150,C-,---------n
избави,избавити,2344487,66370,220150,V-,2spma----i
нꙑ,мꙑ,2344488,59257,220150,Pp,1p---pa--i
и,и,2344489,58771,220150,C-,---------n
се,се,2344490,59292,220150,I-,---------n
отъ,отъ,2344491,58785,220150,R-,---------n
насильѣ,насилиѥ,2344492,82820,220150,Nb,-s---ng--i
иноплеменьникъ,иноплеменьникъ,2344493,68881,220150,Nb,-p---mg--i
і,и,2344494,58771,220150,C-,---------n
отъ,отъ,2344495,58785,220150,R-,---------n
всего,вьсь,2344496,58821,220150,Px,-s---mg--i
часа,часъ,2344497,59077,220150,Nb,-s---mg--i
съмрътънааго,съмрьтьнъ,2344498,65966,220150,A-,-s---mgpwi
съблюди,съблюсти,2344499,64170,220151,V-,2spma----i
е,и,2344500,58765,220151,Pp,3s---na--i
с҃тꙑми,свѧтъ,2344501,58910,220151,A-,-p---mipwi
аѣлꙑ,ангелъ,2344502,59019,220151,Nb,-p---mi--i
своими,свои,2344503,58780,220151,Pt,3p---mi--i
і,и,2344504,58771,220152,C-,---------n
съподоби,съподобити,2344505,68983,220152,V-,2spma----i
сътѧжавъшаго,сътѧжати,2344506,73481,220152,V-,-supamg-wi
е,и,2344507,58765,220152,Pp,3s---na--i
незавидьливомъ,незавидьливъ,2344508,150583,220152,A-,-s---nipsi
окомь,око,2344509,58813,220152,Nb,-s---ni--i
наслаждати,наслаждати,2344510,81215,220152,V-,--pna----i
сѧ,себе,2344511,58829,220152,Pk,3s---qa--i
отъ,отъ,2344512,58785,220152,R-,---------n
него,и,2344513,58765,220152,Pp,3s---ng--i
хвалѫ,хвала,2344514,65116,220152,Nb,-s---fa--i
тебѣ,тꙑ,2344515,58769,220152,Pp,2s---md--i
приносити,приносити,2344516,60229,220152,V-,--pna----i
вш,възглашениѥ,2344517,150575,220214,Nb,-s---nn--i
